the_geom,MeterType,MeterNo,LONG,LAT,Status
POINT (-73.82851670026724 40.75873713789212),Strada,4063082,-73.8285167003,40.7587371379,Active
POINT (-73.82832462143524 40.757908135384255),Strada,4063110,-73.8283246214,40.7579081354,Active
POINT (-73.90798621990773 40.70012530745607),Strada,4093078,-73.9079862199,40.7001253075,Active
POINT (-73.90966447489507 40.700780306313796),Strada,4093082,-73.9096644749,40.7007803063,Active
POINT (-73.91009473027924 40.6996278826909),Strada,4093088,-73.9100947303,40.6996278827,Active
POINT (-73.90737741236342 40.69968982922972),Strada,4093093,-73.9073774124,40.6996898292,Active
POINT (-73.91034786876041 40.700793717977106),Strada,4093102,-73.9103478688,40.700793718,Active
POINT (-73.91312697431256 40.700724658202866),Strada,4093107,-73.9131269743,40.7007246582,Inactive
POINT (-73.83658515945223 40.57873906473858),Strada,4103007,-73.8365851595,40.5787390647,Active
POINT (-73.81854473777744 40.70982390795697),Strada,4323108,-73.8185447378,40.709823908,Active
POINT (-73.8153882217245 40.704739245161),Strada,4323101,-73.8153882217,40.7047392452,Active
POINT (-73.81584622601295 40.70542905083798),Strada,4323102,-73.815846226,40.7054290508,Active
POINT (-73.816276962611 40.70606657321756),Strada,4323103,-73.8162769626,40.7060665732,Active
POINT (-73.77071393004124 40.76288367817122),Strada,4213018,-73.77071393,40.7628836782,Active
POINT (-73.77090018424184 40.76327123534243),Strada,4213017,-73.7709001842,40.7632712353,Active
POINT (-73.7728666091842 40.76702188197194),Strada,4213005,-73.7728666092,40.767021882,Active
POINT (-73.7742874872429 40.768928627126535),Strada,4213003,-73.7742874872,40.7689286271,Active
POINT (-73.75429492241328 40.6048515090768),Strada,4113102,-73.7542949224,40.6048515091,Active
POINT (-73.75315032798437 40.60334188924542),Strada,4113116,-73.753150328,40.6033418892,Active
POINT (-73.87865145040115 40.7501765826072),Strada,4122370,-73.8786514504,40.7501765826,Active
POINT (-73.87355442870104 40.75093143669806),Strada,4123010,-73.8735544287,40.7509314367,Active
POINT (-73.87819360677679 40.75033499017691),Strada,4123015,-73.8781936068,40.7503349902,Active
POINT (-73.87714791285742 40.75044665819609),Strada,4123016,-73.8771479129,40.7504466582,Active
